course,section,class_number,instructor,days,time,modality,room,status,credits,result_category,time_filter_status,warnings
ENGL 28000,02-LEC Regular,8039,Karen Greenberg,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28000,03-LEC Regular,6178,Dozandri Mendoza,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28000,05-LEC Regular,8037,Chiara Di Maio,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28500,01-LEC Regular,8036,Katherine Neuman,MoWe,10:00AM - 11:15AM,In Person,West Bldg W1222,Open,3.0,matched,match,
ENGL 28500,03-LEC Regular,7395,Melinda Goodman,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28500,04-LEC Regular,6177,TBA,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28500,05-LEC Regular,9440,Renee Schaller,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28500,09-LEC Regular,9443,Melinda Goodman,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 28500,11-LEC Regular,8033,Sara Rempe,MoWe,11:30AM - 12:45PM,In Person,West Bldg W1222,Open,3.0,matched,match,
ENGL 30100,02-LEC Regular,9043,Jack Kenigsberg,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30300,01-LEC Regular,8032,Elizabeth Martinez-Bilgrey,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30300,02-LEC Regular,9861,George Kovalenko,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30400,05-LEC Regular,6174,TBA,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30500,01-LEC Regular,8029,Donna Paparella,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30600,02-LEC Regular,8027,Jeremy Glick,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30600,03-LEC Regular,8026,Jason Ciaccio,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30600,05-LEC Regular,6172,Ira Elliott,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30700,01-LEC Regular,8025,Yu-Yun Hsieh,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30700,03-LEC Regular,8023,Cary Fitzgerald,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30700,04-LEC Regular,8022,Nancy Hightower,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30800,01-LEC Regular,8021,Katherine Neuman,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 30800,02-LEC Regular,7394,TBA,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31100,01-LEC Regular,8020,Lulu Sylbert,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31100,02-LEC Regular,8019,Naomi Leimsider,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31300,01-LEC Regular,8017,Lulu Sylbert,MoWe,1:00PM - 2:15PM,In Person,West Bldg W1222,Open,3.0,matched,match,
ENGL 31300,02-LEC Regular,6171,Michael Thomas,TuTh,1:00PM - 2:15PM,In Person,West Bldg W1222,Open,3.0,matched,match,
ENGL 31400,02-LEC Regular,6170,TBA,TuTh,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31600,01-LEC Regular,7267,John Murillo,We,2:30PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31754,01-LEC Regular,8016,Kelly Nims,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 31983,01-LEC Regular,4561,Amy Robbins,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32000,01-LEC Regular,8015,Eisa Ulen Richardson,MoWe,10:00AM - 11:15AM,In Person,TBA,Open,3.0,matched,match,
ENGL 32000,02-LEC Regular,8014,Cary Fitzgerald,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32000,06-LEC Regular,8011,Christina Katopodis,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32000,07-LEC Regular,8010,Chong Smith,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32265,01-LEC Regular,8008,Chase Berggrun,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32400,01-LEC Regular,8007,Mark Miller,We,11:30AM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32500,01-LEC Regular,8006,Nijah Cunningham,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 32987,01-LEC Regular,9906,Raina Bhagat,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 33000,01-LEC Regular,4795,Angela Reyes,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 33200,01-LEC Regular,6164,Susana Huidobro Burgos,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 33367,01-LEC Regular,4493,Karen Greenberg,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 33384,01-LEC Regular,9917,Dozandri Mendoza,We,2:30PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 33500,01-LEC Regular,8005,TBA,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 34100,01-LEC Regular,6163,Leigh Jones,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 35200,01-LEC Regular,6162,Gavin Hollis,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 35810,01-LEC Regular,4158,Leah Garrett,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 35815,01-LEC Regular,9916,Jeremy Glick,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 37151,01-LEC Regular,4633,Dow Robbins,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 37200,01-LEC Regular,8004,Kelvin Black,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 39700,01-LEC Regular,6153,Amy Robbins,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 48200,01-SEM Regular,8001,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
ENGL 48201,01-SEM Regular,8000,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
ENGL 48300,01-SEM Regular,8860,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
ENGL 48492,01-LEC Regular,4439,Angelo Nikolopoulos,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 48500,01-LEC Regular,9033,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48501,01-TUT Regular,7999,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48501,02-TUT Regular,7998,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48501,03-TUT Regular,7997,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48501,04-TUT Regular,7996,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48502,01-TUT Regular,7995,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48502,02-TUT Regular,7994,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48502,03-TUT Regular,7993,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
ENGL 48502,04-TUT Regular,7992,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
